vin,reported_odometer,ecu_ecm,ecu_tcm,ecu_abs,ecu_airbag,ecu_cluster,engine_hours,max_variance,avg_speed,is_tampered
MA3ERLF3800002524,129037,129214,128999,128877,128966,128903,3285.38,337,39.28,0
MA3ERLF3800002525,36955,36788,36811,36961,37090,37087,920.27,302,40.16,0
MA3ERLF3800002526,17372,43000,43040,43029,17401,17372,876.14,25668,19.83,1
MA3ERLF3800002527,129976,130016,129895,129802,129776,130157,3592.48,381,36.18,0
MA3ERLF3800002528,27303,57794,57744,57823,27227,27303,1764.18,30596,15.48,1
MA3ERLF3800002529,17129,76069,76256,76109,17241,17129,1530.1,59127,11.19,1
MA3ERLF3800002530,146772,146652,146872,146949,146856,146642,3296.66,307,44.52,0
MA3ERLF3800002531,152899,153078,152730,153009,152711,152777,3449.99,367,44.32,0
MA3ERLF3800002532,117968,117929,117921,118132,117781,118044,2957.79,351,39.88,0
MA3ERLF3800002533,117564,117562,117477,117389,117699,117499,2377.43,310,49.45,0
MA3ERLF3800002534,60110,60306,60172,60034,59983,60206,1367.55,323,43.95,0
MA3ERLF3800002535,19935,19896,19839,20006,20122,20116,496.21,283,40.17,0
MA3ERLF3800002536,18966,31553,31603,31630,31433,18966,974.82,12664,19.46,1
MA3ERLF3800002537,168162,168043,168018,168146,168243,168048,3866.77,225,43.49,0
MA3ERLF3800002538,67494,67381,67451,67677,67464,67492,1631.39,296,41.37,0
MA3ERLF3800002539,104940,104950,105081,104812,105124,104885,2187.45,312,47.97,0
MA3ERLF3800002540,23708,23692,23690,23901,23854,23538,612.69,363,38.69,0
MA3ERLF3800002541,82270,82299,82453,82124,82397,82422,2327.19,329,35.35,0
MA3ERLF3800002542,104315,104385,104191,104480,104422,104200,1994.83,289,52.29,0
MA3ERLF3800002543,23291,111866,111834,111807,111805,23291,3713.44,88575,6.27,1
MA3ERLF3800002544,15762,32676,32645,32665,32807,15762,886.53,17045,17.78,1
MA3ERLF3800002545,126480,126387,126616,126441,126487,126559,3197.56,229,39.56,0
MA3ERLF3800002546,19957,37931,38009,19917,19824,19957,1092.51,18185,18.27,1
MA3ERLF3800002547,42742,42738,42827,42565,42828,42572,1344.97,263,31.78,0
MA3ERLF3800002548,136325,136260,136201,136234,136444,136306,2808.62,243,48.54,0
MA3ERLF3800002549,44826,44781,44983,44925,45000,44781,1308.91,219,34.25,0
MA3ERLF3800002550,18303,16103,16228,18227,18159,18303,298.34,2200,61.35,1
MA3ERLF3800002551,17238,17121,17061,17214,17402,17321,487.34,341,35.37,0
MA3ERLF3800002552,120671,120554,120572,120721,120792,120564,2503.09,238,48.21,0
MA3ERLF3800002553,103676,103857,103677,103701,103642,103786,2831.55,215,36.61,0
MA3ERLF3800002554,133656,133512,133556,133836,133638,133750,3680.42,324,36.32,0
MA3ERLF3800002555,77991,78101,78041,77933,77930,77960,1632.43,171,47.78,0
MA3ERLF3800002556,77628,77573,77665,77541,77433,77700,2265.53,267,34.26,0
MA3ERLF3800002557,31294,59943,60057,60065,60063,31294,1175.37,28771,26.62,1
MA3ERLF3800002558,74998,74955,74978,74911,74892,75127,1683.06,235,44.56,0
MA3ERLF3800002559,139602,139412,139554,139405,139440,139766,2981.8,361,46.82,0
MA3ERLF3800002560,95892,95730,95906,95806,96064,95901,2348.9,334,40.82,0
MA3ERLF3800002561,156682,156710,156878,156875,156485,156535,3973.69,393,39.43,0
MA3ERLF3800002562,143556,143605,143434,143644,143653,143659,3030.41,225,47.37,0
MA3ERLF3800002563,174993,174952,174893,175031,174890,175184,3844.46,294,45.52,0
MA3ERLF3800002564,156959,156893,156952,157025,156964,156965,4847.98,132,32.38,0
MA3ERLF3800002565,108458,156323,156099,156093,108575,108458,3962.53,47865,27.37,1
MA3ERLF3800002566,68455,68632,68644,68452,68440,68460,1463.62,204,46.77,0
MA3ERLF3800002567,17460,48925,49061,48920,17381,17460,1143.9,31680,15.26,1
MA3ERLF3800002568,77806,77726,77953,77966,77679,77818,2459.48,287,31.64,0
MA3ERLF3800002569,110727,110528,110709,110558,110681,110660,2058.24,181,53.8,0
MA3ERLF3800002570,123607,123607,123610,123476,123462,123481,3881.16,148,31.85,0
MA3ERLF3800002571,174035,173947,174102,173847,173912,174041,5102.45,255,34.11,0
MA3ERLF3800002572,17413,17553,17584,17254,17541,17572,375.55,330,46.37,0
MA3ERLF3800002573,129509,129598,129398,129643,129649,129651,2664.23,253,48.61,0
MA3ERLF3800002574,15769,23852,23859,23919,23760,15769,483.55,8150,32.61,1
MA3ERLF3800002575,160626,160632,160450,160706,160470,160728,2982.57,278,53.85,0
MA3ERLF3800002576,107549,107634,107561,107749,107558,107626,2298.01,191,46.8,0
MA3ERLF3800002577,108370,164869,164921,164722,108505,108370,3422.05,56551,31.67,1
MA3ERLF3800002578,69104,68992,68983,69194,69072,69002,1398.68,211,49.41,0
MA3ERLF3800002579,28245,28345,28138,28343,28103,28210,839.96,242,33.63,0
MA3ERLF3800002580,77524,77383,77475,77720,77655,77560,1662.49,337,46.63,0
MA3ERLF3800002581,67406,67307,67424,67382,67450,67567,2032.06,260,33.17,0
MA3ERLF3800002582,39907,39844,40057,39902,39998,40077,953.98,233,41.83,0
MA3ERLF3800002583,134760,134935,134600,134711,134574,134780,3292.05,361,40.93,0
MA3ERLF3800002584,101210,101347,101079,101143,101019,101233,2738.58,328,36.96,0
MA3ERLF3800002585,130845,130646,130845,130821,130730,131031,3947.64,385,33.15,0
MA3ERLF3800002586,165420,165567,165320,165611,165526,165516,3378.93,291,48.96,0
MA3ERLF3800002587,149061,148915,149114,149077,148865,149023,2945.31,249,50.61,0
MA3ERLF3800002588,163415,163486,163334,163577,163474,163455,5146.0,243,31.76,0
MA3ERLF3800002589,101304,101477,101246,101177,101230,101258,2948.02,300,34.36,0
MA3ERLF3800002590,167668,167848,167740,167727,167512,167731,4314.58,336,38.86,0
MA3ERLF3800002591,99795,99858,99814,99901,99925,99815,2694.62,111,37.03,0
MA3ERLF3800002592,41413,112538,112511,112297,41412,41413,3272.43,71126,12.66,1
MA3ERLF3800002593,30423,78107,77981,78151,78188,30423,2001.01,47765,15.2,1
MA3ERLF3800002594,153207,153049,153315,153305,153091,153007,3721.15,308,41.17,0
MA3ERLF3800002595,130149,130044,130235,130020,130069,130169,2961.84,215,43.94,0
MA3ERLF3800002596,145707,145677,145656,145515,145575,145720,3664.79,205,39.76,0
MA3ERLF3800002597,70478,166990,166786,166955,166930,70478,3996.93,96512,17.63,1
MA3ERLF3800002598,50764,130308,130193,130331,50906,50764,2728.19,79567,18.61,1
MA3ERLF3800002599,40276,40195,40120,40317,40464,40314,1137.95,344,35.39,0
MA3ERLF3800002600,17791,17659,17855,17949,17631,17653,325.79,318,54.61,0
MA3ERLF3800002601,80245,80167,80104,80411,80354,80230,2506.83,307,32.01,0
MA3ERLF3800002602,16496,16575,16595,16419,16524,16631,524.66,212,31.44,0
MA3ERLF3800002603,78648,78450,78742,78845,78831,78531,2130.88,395,36.91,0
MA3ERLF3800002604,131160,131252,130987,131140,131343,131264,4184.88,356,31.34,0
MA3ERLF3800002605,58182,58292,58341,58281,58313,58319,1837.74,60,31.66,0
MA3ERLF3800002606,86668,86523,86757,86591,86761,86554,1932.07,238,44.86,0
MA3ERLF3800002607,143705,143589,143664,143904,143691,143902,4277.68,315,33.59,0
MA3ERLF3800002608,29303,29229,29328,29498,29276,29123,652.39,375,44.92,0
MA3ERLF3800002609,145564,145395,145486,145633,145462,145415,2664.54,238,54.63,0
MA3ERLF3800002610,49844,49805,49914,49966,49977,49845,1152.5,172,43.25,0
MA3ERLF3800002611,93493,93638,93389,93622,93417,93656,2052.34,267,45.55,0
MA3ERLF3800002612,154130,154091,153958,154087,154169,154277,2983.55,319,51.66,0
MA3ERLF3800002613,30957,58478,58485,31046,31015,30957,1106.42,27528,27.98,1
MA3ERLF3800002614,146653,146846,146621,146509,146475,146584,2718.01,371,53.96,0
MA3ERLF3800002615,16993,141810,141851,17102,16888,16993,3066.16,124963,5.54,1
MA3ERLF3800002616,69176,69363,69375,69110,69373,69341,1575.0,265,43.92,0
MA3ERLF3800002617,100653,100750,100550,100811,100771,100758,2810.03,261,35.82,0
MA3ERLF3800002618,132014,132106,131934,132068,131918,131899,3538.86,207,37.3,0
MA3ERLF3800002619,59860,60021,59947,60060,59995,59696,1552.82,364,38.55,0
MA3ERLF3800002620,21066,21087,21157,21155,20967,21076,480.32,190,43.86,0
MA3ERLF3800002621,60602,166568,166615,166657,166595,60602,3885.0,106055,15.6,1
MA3ERLF3800002622,61603,61735,61504,61495,61509,61451,1462.84,284,42.11,0
MA3ERLF3800002623,32696,32720,32569,32676,32547,32509,600.79,211,54.42,0
MA3ERLF3800002624,138247,138184,138239,138440,138139,138229,4319.58,301,32.0,0
MA3ERLF3800002625,16186,26078,26015,26043,16123,16186,545.25,9955,29.69,1
MA3ERLF3800002626,99917,99966,99982,99978,100114,99919,3319.91,195,30.1,0
MA3ERLF3800002627,146571,146490,146403,146605,146497,146662,3438.46,259,42.63,0
MA3ERLF3800002628,151263,151310,151079,151392,151228,151138,2837.43,313,53.31,0
MA3ERLF3800002629,81161,113279,113099,81284,81257,81161,2569.58,32118,31.59,1
MA3ERLF3800002630,108243,108150,108066,108130,108079,108442,3042.41,376,35.58,0
MA3ERLF3800002631,29991,29810,30044,30101,30070,30056,635.03,291,47.23,0
MA3ERLF3800002632,80634,80642,80746,80443,80774,80742,1701.4,331,47.39,0
MA3ERLF3800002633,55129,55275,55147,54958,55270,55209,1037.05,317,53.16,0
MA3ERLF3800002634,144100,144256,144237,144109,143917,144041,3209.49,339,44.9,0
MA3ERLF3800002635,21630,85824,85839,85929,21642,21630,1582.9,64299,13.66,1
MA3ERLF3800002636,135516,135675,135658,135549,135486,135381,4119.05,294,32.9,0
MA3ERLF3800002637,56600,158006,157923,56454,56695,56600,3235.52,101552,17.49,1
MA3ERLF3800002638,63794,63896,63702,63994,63849,63728,1983.15,292,32.17,0
MA3ERLF3800002639,49983,49798,50118,50075,50118,49907,1613.56,320,30.98,0
MA3ERLF3800002640,55854,162394,162277,55976,55901,55854,3833.09,106540,14.57,1
MA3ERLF3800002641,82141,82250,81985,82126,82325,82239,1708.17,340,48.09,0
MA3ERLF3800002642,38306,38423,38210,38122,38131,38288,815.93,301,46.95,0
MA3ERLF3800002643,15195,15171,15081,15079,15190,15340,319.45,261,47.57,0
MA3ERLF3800002644,52597,52575,52770,52535,52441,52510,1242.39,329,42.34,0
MA3ERLF3800002645,37338,84123,84120,84003,37221,37338,1835.96,46902,20.34,1
MA3ERLF3800002646,52726,163024,163068,162992,52621,52726,3120.46,110447,16.9,1
MA3ERLF3800002647,24572,24458,24391,24734,24639,24578,526.8,343,46.64,0
MA3ERLF3800002648,16949,50871,50908,16803,17081,16949,1575.29,34105,10.76,1
MA3ERLF3800002649,138606,138476,138755,138649,138434,138725,3774.62,321,36.72,0
MA3ERLF3800002650,16446,32499,32512,32600,32623,16446,752.91,16177,21.84,1
MA3ERLF3800002651,25812,111618,111701,25794,25774,25812,2630.28,85927,9.81,1
MA3ERLF3800002652,45161,45192,45358,45168,45115,45086,1163.87,272,38.8,0
MA3ERLF3800002653,35419,35284,35498,35266,35480,35473,740.15,232,47.85,0
MA3ERLF3800002654,165814,166012,165830,165784,165991,165743,3872.39,269,42.82,0
MA3ERLF3800002655,35540,35601,35720,35525,35368,35734,1138.53,366,31.22,0
MA3ERLF3800002656,28084,66649,66605,66903,66704,28084,1411.79,38819,19.89,1
MA3ERLF3800002657,16109,26529,26525,16150,16058,16109,615.9,10471,26.16,1
MA3ERLF3800002658,105899,154636,154674,154776,105844,105899,4594.31,48932,23.05,1
MA3ERLF3800002659,121826,121659,121885,121872,121815,121644,3218.39,241,37.85,0
MA3ERLF3800002660,128155,127998,128058,128189,128218,128216,4209.92,220,30.44,0
MA3ERLF3800002661,147057,147108,147155,146910,146980,146946,4822.46,245,30.49,0
MA3ERLF3800002662,35730,35762,35887,35829,35678,35550,973.47,337,36.7,0
MA3ERLF3800002663,15162,28935,28953,15239,15061,15162,556.35,13892,27.25,1
MA3ERLF3800002664,15556,39382,39487,15584,15506,15556,750.39,23981,20.73,1
MA3ERLF3800002665,163033,163152,162910,163065,162912,162887,4260.42,265,38.27,0
MA3ERLF3800002666,53466,167626,167616,167485,53380,53466,3540.91,114246,15.1,1
MA3ERLF3800002667,72648,72687,72709,72684,72587,72495,2022.38,214,35.92,0
MA3ERLF3800002668,163062,162932,163040,163089,162888,163064,2999.22,201,54.37,0
MA3ERLF3800002669,53052,53086,53036,52941,53047,53031,1464.61,145,36.22,0
MA3ERLF3800002670,87605,87625,87739,87655,87696,87417,1673.83,322,52.34,0
MA3ERLF3800002671,110193,110354,110044,110059,110099,110170,2599.77,310,42.39,0
MA3ERLF3800002672,18668,15258,15399,15332,15164,18668,506.85,3504,36.83,1
MA3ERLF3800002673,31082,57831,58088,31232,31230,31082,1641.8,27006,18.93,1
MA3ERLF3800002674,64552,64729,64373,64653,64538,64604,1222.9,356,52.79,0
MA3ERLF3800002675,19075,16322,16330,16247,16159,19075,299.92,2916,63.6,1
MA3ERLF3800002676,109392,109468,109222,109414,109294,109295,3554.86,246,30.77,0
MA3ERLF3800002677,160507,160360,160483,160619,160350,160496,4724.84,269,33.97,0
MA3ERLF3800002678,17971,17947,17975,18045,18049,17868,487.1,181,36.89,0
MA3ERLF3800002679,93759,93931,93626,93644,93893,93689,2066.47,305,45.37,0
MA3ERLF3800002680,174363,174228,174486,174227,174306,174254,3416.34,259,51.04,0
MA3ERLF3800002681,34243,93819,93840,93913,93904,34243,2176.14,59670,15.74,1
MA3ERLF3800002682,140657,140750,140547,140481,140757,140807,2723.76,326,51.64,0
MA3ERLF3800002683,26075,25937,26206,26036,26021,25934,653.62,272,39.89,0
MA3ERLF3800002684,91119,91224,91027,91255,91087,91002,2361.95,253,38.58,0
MA3ERLF3800002685,34618,34440,34724,34617,34562,34517,840.66,284,41.18,0
MA3ERLF3800002686,71834,71653,71821,71927,71876,71964,1655.09,311,43.4,0
MA3ERLF3800002687,160804,160834,160718,160923,160730,160904,3693.85,205,43.53,0
MA3ERLF3800002688,54647,54610,54531,54659,54573,54819,1670.05,288,32.72,0
MA3ERLF3800002689,30330,76295,76508,76549,30475,30330,1533.76,46219,19.77,1
MA3ERLF3800002690,45989,45909,45906,46032,46182,46010,1469.06,276,31.31,0
MA3ERLF3800002691,43578,43671,43756,43405,43473,43614,1081.5,351,40.29,0
MA3ERLF3800002692,66046,66013,66164,66214,65858,66172,1754.34,356,37.65,0
MA3ERLF3800002693,168606,168632,168734,168422,168688,168789,5092.12,367,33.11,0
MA3ERLF3800002694,138619,138427,138463,138818,138667,138618,2934.63,391,47.24,0
MA3ERLF3800002695,45218,173192,173235,173086,45222,45218,3582.82,128017,12.62,1
MA3ERLF3800002696,24262,24362,24339,24356,24176,24068,615.93,294,39.39,0
MA3ERLF3800002697,156715,156849,156736,156863,156692,156709,3652.7,171,42.9,0
MA3ERLF3800002698,32066,148906,148875,148903,31979,32066,2730.76,116927,11.74,1
MA3ERLF3800002699,113609,113654,113799,113780,113739,113501,2080.17,298,54.62,0
MA3ERLF3800002700,111243,111054,111161,111334,111183,111127,2680.12,280,41.51,0
MA3ERLF3800002701,172842,172750,172923,173040,172911,172917,4082.89,290,42.33,0
MA3ERLF3800002702,122105,122195,122132,122163,122301,122231,2245.88,169,54.37,0
MA3ERLF3800002703,35025,34926,35130,35090,35015,35092,666.05,204,52.59,0
MA3ERLF3800002704,175651,175663,175568,175500,175453,175714,4037.14,261,43.51,0
MA3ERLF3800002705,18384,20415,20305,20515,18475,18384,586.3,2131,31.36,1
MA3ERLF3800002706,106476,106486,106602,106606,106461,106332,2425.06,274,43.91,0
MA3ERLF3800002707,173272,173203,173117,173245,173318,173352,3820.5,235,45.35,0
MA3ERLF3800002708,40122,39942,40137,40282,40196,39925,1188.07,357,33.77,0
MA3ERLF3800002709,79196,112967,112787,112878,112980,79196,2153.68,33784,36.77,1
MA3ERLF3800002710,161450,161429,161278,161569,161625,161306,4645.47,347,34.75,0
MA3ERLF3800002711,65644,65451,65502,65582,65487,65644,1741.17,193,37.7,0
MA3ERLF3800002712,165010,165158,164999,164916,164846,165204,3040.65,358,54.27,0
MA3ERLF3800002713,141801,141893,141608,141727,141884,141956,3094.73,348,45.82,0
MA3ERLF3800002714,65831,65928,65688,65696,65770,65923,1628.51,240,40.42,0
MA3ERLF3800002715,16947,16994,16748,17079,16848,16891,411.7,331,41.16,0
MA3ERLF3800002716,75996,75975,75797,76009,75956,76193,1854.72,396,40.97,0
MA3ERLF3800002717,50121,49958,49970,50177,50188,50257,1382.22,299,36.26,0
MA3ERLF3800002718,118824,118965,118835,118777,118798,118760,2444.42,205,48.61,0
MA3ERLF3800002719,76633,173724,173916,76514,76781,76633,3891.46,97402,19.69,1
MA3ERLF3800002720,99403,99465,99592,99300,99558,99375,2122.06,292,46.84,0
MA3ERLF3800002721,168229,168395,168255,168122,168384,168183,3158.21,273,53.27,0
MA3ERLF3800002722,30807,179367,179155,30789,30784,30807,4041.27,148583,7.62,1
MA3ERLF3800002723,41852,41782,41677,41685,41788,41849,979.96,172,42.71,0
MA3ERLF3800002724,20505,47383,47363,20585,20384,20505,1164.98,26999,17.6,1
MA3ERLF3800002725,31458,93384,93383,93264,31446,31458,2269.2,61938,13.86,1
MA3ERLF3800002726,25811,25745,25850,25855,25998,25828,518.53,253,49.78,0
MA3ERLF3800002727,35042,35166,35099,34992,35092,35025,676.1,174,51.83,0
MA3ERLF3800002728,61347,61541,61363,61147,61204,61478,1363.83,394,44.98,0
MA3ERLF3800002729,83519,83669,83559,83470,83396,83428,2651.95,273,31.49,0
MA3ERLF3800002730,162136,162049,162282,162295,162230,162308,3355.32,259,48.32,0
MA3ERLF3800002731,77056,76920,77212,77035,77045,77092,1588.51,292,48.51,0
MA3ERLF3800002732,170725,170552,170911,170752,170831,170745,4063.72,359,42.01,0
MA3ERLF3800002733,40560,40586,40684,40391,40475,40568,853.78,293,47.51,0
MA3ERLF3800002734,75289,130713,130690,75272,75258,75289,3380.02,55455,22.27,1
MA3ERLF3800002735,17636,17479,17745,17758,17721,17824,419.65,345,42.03,0
MA3ERLF3800002736,151226,151325,151324,151130,151118,151196,3207.75,207,47.14,0
MA3ERLF3800002737,102244,102136,102391,102144,102321,102220,2677.12,255,38.19,0
MA3ERLF3800002738,97446,97528,97503,97524,97430,97632,2362.86,202,41.24,0
MA3ERLF3800002739,53250,53112,53406,53165,53225,53249,1092.85,294,48.73,0
MA3ERLF3800002740,51868,51911,51819,51903,52012,51987,1030.15,193,50.35,0
MA3ERLF3800002741,171139,171292,171009,171086,171266,171310,5417.57,301,31.59,0
MA3ERLF3800002742,170074,170020,170071,170212,169960,170177,4020.34,252,42.3,0
MA3ERLF3800002743,129587,129681,129748,129642,129593,129654,2579.23,155,50.24,0
MA3ERLF3800002744,24696,24792,24530,24649,24578,24822,531.13,292,46.5,0
MA3ERLF3800002745,158539,158547,158543,158729,158509,158437,3006.38,292,52.73,0
MA3ERLF3800002746,171533,171535,171483,171629,171531,171520,4212.14,146,40.72,0
MA3ERLF3800002747,58601,121906,122148,122003,58639,58601,2357.13,63547,24.86,1
MA3ERLF3800002748,62612,62657,62614,62804,62583,62505,1509.82,299,41.47,0
MA3ERLF3800002749,21343,129380,129365,21366,21272,21343,3677.14,108108,5.8,1
MA3ERLF3800002750,37886,37889,38071,37950,37963,38053,1178.09,182,32.16,0
MA3ERLF3800002751,177541,177502,177417,177398,177484,177497,4448.58,104,39.91,0
MA3ERLF3800002752,67325,67297,67383,67150,67137,67449,1347.54,312,49.96,0
MA3ERLF3800002753,120236,120238,120387,120044,120325,120057,2544.24,343,47.26,0
MA3ERLF3800002754,107364,107457,107178,107463,107321,107194,2224.53,285,48.26,0
MA3ERLF3800002755,130202,130258,130117,130150,130034,130242,3006.48,224,43.31,0
MA3ERLF3800002756,113819,113833,114010,113647,113770,113921,2087.91,363,54.51,0
MA3ERLF3800002757,165819,165715,165798,165877,165982,165924,3035.73,267,54.62,0
MA3ERLF3800002758,70526,70367,70571,70339,70407,70611,1992.87,272,35.39,0
MA3ERLF3800002759,47735,83597,83805,83775,47860,47735,1763.86,36070,27.06,1
MA3ERLF3800002760,105300,105263,105206,105489,105385,105222,2385.95,283,44.13,0
MA3ERLF3800002761,161779,161864,161896,161700,161965,161611,3071.57,354,52.67,0
MA3ERLF3800002762,25391,124556,124561,25493,25387,25391,3782.07,99174,6.71,1
MA3ERLF3800002763,18824,43900,43792,43891,43825,18824,1345.32,25076,13.99,1
MA3ERLF3800002764,21080,97682,97702,97756,97853,21080,1861.37,76773,11.32,1
MA3ERLF3800002765,130991,131105,130836,130936,130901,131188,3350.16,352,39.1,0
MA3ERLF3800002766,102896,102961,102767,102808,102959,102912,3395.46,194,30.3,0
MA3ERLF3800002767,18221,33482,33595,18327,18294,18221,669.71,15374,27.21,1
MA3ERLF3800002768,15320,33933,34012,15385,15436,15320,778.89,18692,19.67,1
MA3ERLF3800002769,141462,141404,141423,141543,141384,141539,4378.21,159,32.31,0
MA3ERLF3800002770,136363,136241,136544,136390,136512,136471,4234.54,303,32.2,0
MA3ERLF3800002771,57631,109706,109676,109808,57531,57631,2182.47,52277,26.41,1
MA3ERLF3800002772,17028,173921,174146,173915,174042,17028,3330.18,157118,5.11,1
MA3ERLF3800002773,156122,156040,156233,156197,156048,155942,3565.42,291,43.79,0
MA3ERLF3800002774,19858,69007,68848,68826,19867,19858,2188.56,49149,9.07,1
MA3ERLF3800002775,18585,28346,28238,28377,18491,18585,527.67,9886,35.22,1
MA3ERLF3800002776,101017,100953,100986,100840,100822,100978,3033.59,164,33.3,0
MA3ERLF3800002777,56096,55942,55921,56059,55982,56197,1433.2,276,39.14,0
MA3ERLF3800002778,22929,107375,107588,107611,107450,22929,2935.67,84682,7.81,1
MA3ERLF3800002779,56386,56420,56300,56503,56324,56512,1624.68,212,34.71,0
MA3ERLF3800002780,75333,75193,75371,75227,75455,75467,1401.86,274,53.74,0
MA3ERLF3800002781,83851,83894,83694,83702,84051,83804,1659.73,357,50.52,0
MA3ERLF3800002782,77423,104359,104479,77570,77473,77423,2452.35,27056,31.57,1
MA3ERLF3800002783,38560,38608,38368,38760,38509,38377,1249.03,392,30.87,0
MA3ERLF3800002784,141062,141121,140981,141098,141152,140907,2908.15,245,48.51,0
MA3ERLF3800002785,75975,75799,76014,76048,76023,76013,2076.19,249,36.59,0
MA3ERLF3800002786,50759,50918,50658,50623,50837,50779,1268.32,295,40.02,0
MA3ERLF3800002787,42963,42995,43128,43013,43071,42772,1319.23,356,32.57,0
MA3ERLF3800002788,38169,79708,79639,79699,38122,38169,1790.01,41586,21.32,1
MA3ERLF3800002789,33529,85196,85061,85205,33607,33529,2769.36,51676,12.11,1
MA3ERLF3800002790,107009,107112,107197,107185,107208,107130,2787.88,96,38.38,0
MA3ERLF3800002791,82995,82901,82928,82927,83138,82832,2105.2,306,39.42,0
MA3ERLF3800002792,60883,112544,112374,112330,60842,60883,2553.57,51702,23.84,1
MA3ERLF3800002793,102615,102815,102642,102715,102473,102571,2327.04,342,44.1,0
MA3ERLF3800002794,19728,59175,59239,59107,19833,19728,1605.97,39511,12.28,1
MA3ERLF3800002795,84653,84739,84841,84740,84549,84765,2145.44,292,39.46,0
MA3ERLF3800002796,51579,117202,117215,117053,51615,51579,2538.04,65636,20.32,1
MA3ERLF3800002797,71544,71683,71367,71557,71657,71742,2330.45,375,30.7,0
MA3ERLF3800002798,91505,137329,137497,91610,91366,91505,3050.83,46131,29.99,1
MA3ERLF3800002799,34191,34359,34233,34236,34387,34365,908.46,154,37.64,0
MA3ERLF3800002800,76494,76296,76368,76357,76462,76552,2063.71,256,37.07,0
MA3ERLF3800002801,41343,151356,151402,151272,41393,41343,2992.78,110059,13.81,1
MA3ERLF3800002802,44690,44851,44789,44752,44599,44855,1187.57,256,37.63,0
MA3ERLF3800002803,144522,144435,144606,144591,144708,144322,4771.53,386,30.29,0
MA3ERLF3800002804,116357,116260,116507,116546,116535,116323,2629.05,286,44.26,0
MA3ERLF3800002805,100851,100909,100878,100825,100741,100789,1862.66,168,54.14,0
MA3ERLF3800002806,96032,95851,95849,95863,96072,95851,1788.94,223,53.68,0
MA3ERLF3800002807,41861,41964,41685,41868,41838,41970,886.7,285,47.21,0
MA3ERLF3800002808,19289,51554,51515,19428,19349,19289,1716.1,32265,11.24,1
MA3ERLF3800002809,170739,170753,170821,170610,170591,170705,5576.37,230,30.62,0
MA3ERLF3800002810,83306,83277,83492,83315,83416,83456,2633.43,215,31.63,0
MA3ERLF3800002811,45926,46101,45988,45901,45755,45887,853.01,346,53.84,0
MA3ERLF3800002812,107877,107866,107719,107856,107822,107820,3301.75,147,32.67,0
MA3ERLF3800002813,98844,167140,166980,167047,98985,98844,5473.02,68296,18.06,1
MA3ERLF3800002814,86237,86105,86366,86103,86229,86209,1713.1,263,50.34,0
MA3ERLF3800002815,55544,55633,55383,55560,55398,55566,1140.46,250,48.7,0
MA3ERLF3800002816,70326,116891,116880,116789,116755,70326,2850.19,46565,24.67,1
MA3ERLF3800002817,15716,51864,51825,51815,15774,15716,1501.74,36148,10.47,1
MA3ERLF3800002818,35851,79464,79494,79543,79566,35851,1935.29,43715,18.52,1
MA3ERLF3800002819,47307,47384,47128,47478,47117,47172,1263.34,361,37.45,0
MA3ERLF3800002820,141828,141867,141899,141958,141646,142028,4090.68,382,34.67,0
MA3ERLF3800002821,80015,79889,79932,79991,80055,79938,2127.96,166,37.6,0
MA3ERLF3800002822,31308,31248,31416,31478,31397,31197,594.1,281,52.7,0
MA3ERLF3800002823,50071,49903,50008,50184,49877,50107,1135.1,307,44.11,0
MA3ERLF3800002824,148760,148627,148844,148837,148861,148589,2908.24,272,51.15,0
MA3ERLF3800002825,70060,69996,69911,70230,70008,69950,1959.97,319,35.75,0
MA3ERLF3800002826,65210,65045,65029,65071,65191,65399,1214.6,370,53.69,0
MA3ERLF3800002827,73148,73270,73340,73102,73190,73022,1455.76,318,50.25,0
MA3ERLF3800002828,170169,170336,170156,170006,170278,170196,4915.01,330,34.62,0
MA3ERLF3800002829,40934,81624,81654,41072,40943,40934,1565.62,40720,26.15,1
MA3ERLF3800002830,155469,155459,155460,155545,155541,155509,3482.5,86,44.64,0
MA3ERLF3800002831,84032,113459,113346,113563,113310,84032,2902.81,29531,28.95,1
MA3ERLF3800002832,144206,144397,144236,144233,144152,144175,4546.6,245,31.72,0
MA3ERLF3800002833,104773,104793,104618,104585,104786,104970,2787.65,385,37.58,0
MA3ERLF3800002834,130227,130047,130146,130118,130353,130213,3040.12,306,42.84,0
MA3ERLF3800002835,84755,84684,84920,84649,84716,84829,2146.15,271,39.49,0
MA3ERLF3800002836,28240,28160,28140,28357,28315,28119,588.09,238,48.02,0
MA3ERLF3800002837,31036,31200,30850,30896,30902,30904,578.07,350,53.69,0
MA3ERLF3800002838,71104,70948,71148,70963,71115,70943,1300.28,205,54.68,0
MA3ERLF3800002839,56545,168399,168293,168372,56396,56545,3372.56,112003,16.77,1
MA3ERLF3800002840,53103,161199,161190,53185,53189,53103,3434.71,108096,15.46,1
MA3ERLF3800002841,123935,123863,124079,123883,123974,123848,3579.2,231,34.63,0
MA3ERLF3800002842,30686,30606,30790,30773,30657,30539,680.93,251,45.06,0
MA3ERLF3800002843,81471,115571,115335,81382,81410,81471,2204.84,34189,36.95,1
MA3ERLF3800002844,38385,80453,80521,80368,80481,38385,2415.66,42136,15.89,1
MA3ERLF3800002845,108682,108829,108857,108523,108639,108786,2605.08,334,41.72,0
MA3ERLF3800002846,94093,129275,129105,129246,93961,94093,4144.13,35314,22.71,1
